workload,threads,keys,elements,capacity,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
AtomicE2E,1,1000,100000000,1000,0,0,+5.828142166137695e-4,0.606693418,0.606511172,0.605833455,0.608545508,0.608788544,0.605616359,0.605996522,0.605841826,0.60850059,+2.142e-5,+3.6664813213477626e-1,+2.39803932666301e-1,+3.21e-6
LockingE2E,1,1000,100000000,1000,0,0,+5.967617034912109e-4,0.886201846,0.888129804,0.885518119,0.886917416,0.88611347,0.887524977,0.886355248,0.887541797,0.887054577,+2.74e-5,+3.65670605444527e-1,+5.207564230791604e-1,+3.58e-6
ThreadLocalE2E,1,1000,100000000,1000,0,0,+5.781650543212891e-4,0.437394884,0.437803627,0.439729884,0.435603884,0.427003672,0.426335662,0.438154182,0.435839391,0.438157482,+2.0829e-5,+3.714092043690305e-1,+6.409317740962843e-2,+3.12535e-4
PartitionedE2E,1,1000,100000000,1000,0,0,+9.790658950805664e-4,0.582494933,0.584365651,0.582151069,0.583521666,0.586174061,0.583723013,0.58629758,0.58394807,0.585171359,+5.8e-7,+5.83612626e-1,+3.24095e-4,+8.32e-6
AtomicE2E,1,10000000,100000000,10000000,0,0,+5.220712423324585e-1,2.927804409,2.960510638,2.942196327,2.9508149870000002,2.957318762,2.938109307,2.943532171,2.951906395,2.958025027,+6.7561801e-2,+2.142849708710219e0,+7.377560832897807e-1,+1.530234e-3
LockingE2E,1,10000000,100000000,10000000,0,0,+6.338328123092651e-1,5.475005299,5.467007657,5.421339654,5.420701215,5.408488533,5.406087593,5.409032313,5.406795601,5.399509364,+6.6339954e-2,+2.133462370027777e0,+3.2171560632258256e0,+1.471775e-3
ThreadLocalE2E,1,10000000,100000000,10000000,0,0,+5.220731496810913e-1,2.82261686,2.823301564,2.823473156,2.823854715,2.832754349,2.819196544,2.827702184,2.8419445679999997,2.826100082,+6.6389645e-2,+2.119834747966668e0,+6.369807029918291e-1,+2.051195e-3
PartitionedE2E,1,10000000,100000000,10000000,0,0,+4.500944495201111e0,5.444705206,5.428476208,5.409007065,5.394811102,5.41248372,5.426683325,5.408445332,5.438745895,5.377345358,+5.91e-7,+1.235997355e0,+4.154163522e0,+2.2476991e-2
AtomicE2E,1,100000000,100000000,100000000,0,0,+5.215936899185181e0,4.000019253,3.999054068,4.005796213,4.003240393,4.001111008,3.999995644,4.001570596,4.000919085,3.99401271,+2.44440349e-1,+3.0431486720534044e0,+6.969868965662824e-1,+9.449381e-3
LockingE2E,1,100000000,100000000,100000000,0,0,+6.333526849746704e0,5.736291036,5.73399082,5.724737232,5.774057435,5.777931745,5.771255973,5.77404396,5.767735792,5.770017727,+3.11987609e-1,+3.038242470955495e0,+2.4004331719552803e0,+1.2763605e-2
ThreadLocalE2E,1,100000000,100000000,100000000,0,0,+5.215938925743103e0,3.846138584,3.845437002,3.8447609590000003,3.851086589,3.830803387,3.822996004,3.821280608,3.821310744,3.818100674,+2.08587939e-1,+3.0318865545747764e0,+5.739309086588066e-1,+9.591569e-3
