workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
AtomicE2E,1,10000000,100000000,10000000,true,I64,Sum,0,0,+5.60561456e8,3.453541708,3.453868845,3.451909938,3.452572392,3.453215286,3.435419433,3.445179916,3.452069652,3.452393348,+3.239e-5,+2.494593369466996e0,+9.55664440533004e-1,+1.37708e-3
AtomicE2E,1,10000000,100000000,5000000,true,I64,Sum,0,0,+6.8053304e8,3.602915744,3.603300249,3.599959134,3.605864717,3.604672265,3.630004887,3.639211935,3.642733226,3.642649455,+3.276e-5,+2.6462496141424916e0,+9.561763398575084e-1,+1.31145e-3
AtomicE2E,1,100000000,100000000,100000000,true,I64,Sum,0,0,+5.600561456e9,3.951465322,3.9462428210000002,3.947109733,3.945756643,3.9442246819999998,3.945251874,3.943779154,3.946954548,3.947129745,+3.7849e-5,+3.536484887155602e0,+3.9163997184439797e-1,+1.1699219e-2
AtomicE2E,1,100000000,100000000,50000000,true,I64,Sum,0,0,+6.800547376e9,5.749130238,5.755364707,5.746761342,5.754595029,5.752994868,5.737399357,5.753169183,5.750396511,5.756470972,+3.631e-5,+5.3244837387860295e0,+4.0551835127428987e-1,+1.1738338e-2
ThreadLocalE2E,1,10000000,100000000,10000000,true,I64,Sum,0,0,+5.60561496e8,3.273377406,3.331774382,3.329819686,3.316514059,3.299118782,3.329384737,3.323161875,3.316715014,3.351978289,+2.803e-5,+2.5133130869198053e0,+8.074853060801948e-1,+1.530598e-3
ThreadLocalE2E,1,10000000,100000000,5000000,true,I64,Sum,0,0,+6.8053308e8,3.513379011,3.552808283,3.473666057,3.5361976410000002,3.532393619,3.534754601,3.527634576,3.512147354,3.500997731,+2.726e-5,+2.6654425438790494e0,+8.569163587835307e-1,+1.518738e-3
ThreadLocalE2E,1,100000000,100000000,100000000,true,I64,Sum,0,0,+5.600561496e9,3.72051569,3.7239593109999998,3.719267188,3.720493167,3.7214772590000003,3.721356949,3.720493385,3.720707532,3.720312485,+2.9959e-5,+3.5100196014676026e0,+1.9297161894438034e-1,+1.1866517e-2
ThreadLocalE2E,1,100000000,100000000,50000000,true,I64,Sum,0,0,+6.800547416e9,5.581798765,5.577423547,5.579900406,5.582305475,5.580627797,5.583852551,5.576338458,5.581281608,5.582505136,+3.071e-5,+5.350041973520228e0,+2.0945295563740596e-1,+1.1781428e-2
PartitionedE2E,1,10000000,100000000,10000000,true,I64,Sum,0,0,+3.649044984e9,4.946229445,4.944622595,4.899807263,4.935544874,4.922467245,4.9267654400000005,4.9366350820000005,4.940289142,4.938831943,+1.8e-7,+2.052633807e0,+2.856052782e0,+2.8048962e-2
PartitionedE2E,1,100000000,100000000,100000000,true,I64,Sum,0,0,+6.64377804e9,8.080501889,8.027566049,8.042069503,7.993633898,7.931598209,7.894488196,7.952770129,7.959154006,7.993537898,+1.6e-7,+1.943468532e0,+5.774268446e0,+2.34167626e-1
AtomicE2E,2,10000000,100000000,10000000,true,I64,Sum,0,0,+5.61090136e8,1.824829313,1.810445155,1.801270316,1.806113949,1.810775792,1.832329224,1.830545448,1.80713116,1.808998355,+3.207e-5,+1.313252646464881e0,+4.9342510561464253e-1,+1.425099e-3
AtomicE2E,2,10000000,100000000,5000000,true,I64,Sum,0,0,+6.81063984e8,1.979418637,1.9647408309999999,1.961598016,1.95841879,1.963931778,1.96223689,1.964239744,1.9624153789999998,1.9700908080000001,+3.235e-5,+1.4659487970253298e0,+4.9578284829321684e-1,+1.380599e-3
AtomicE2E,2,100000000,100000000,100000000,true,I64,Sum,0,0,+5.601090136e9,2.920109474,2.903228536,2.899657974,2.909689785,2.9078684790000002,2.908231546,2.894025086,2.899195116,2.945207847,+3.5279e-5,+2.34139487937363e0,+5.504017146263703e-1,+1.2084025e-2
AtomicE2E,2,100000000,100000000,50000000,true,I64,Sum,0,0,+6.80107832e9,4.277805259,4.320993473,4.281032553,4.249947225,4.306840551,4.294373508,4.282907736,4.193382334,4.293591142,+3.506e-5,+3.7627637355546817e0,+4.895711591614717e-1,+1.1950666e-2
ThreadLocalE2E,2,10000000,100000000,10000000,true,I64,Sum,0,0,+6.41094352e8,1.73692796,1.734907326,1.749397323,1.740519152,1.71642418,1.746725104,1.743518249,1.7435290380000001,1.7231256780000002,+2.742e-5,+1.3272830525393655e0,+4.058769344480174e-1,+6.844197e-3
ThreadLocalE2E,2,10000000,100000000,5000000,true,I64,Sum,0,0,+7.21084112e8,1.889632779,1.8927111650000001,1.883506197,1.892631715,1.892365657,1.893880036,1.887045998,1.8884446179999999,1.888520727,+2.697e-5,+1.4624672736681363e0,+4.172995367237965e-1,+7.101415e-3
ThreadLocalE2E,2,100000000,100000000,100000000,true,I64,Sum,0,0,+6.401094352e9,2.52308336,2.535495382,2.549700091,2.529736307,2.536721532,2.530089793,2.538959485,2.555707124,2.536650322,+3.2909e-5,+2.364269721598733e0,+1.1006797044391001e-1,+5.4766343e-2
ThreadLocalE2E,2,100000000,100000000,50000000,true,I64,Sum,0,0,+7.201098448e9,3.908920722,3.90253443,4.016478773,3.957663451,3.924824056,3.965128472,3.902961785,3.967193035,3.944972447,+3.246e-5,+3.734451774840585e0,+1.4257071910111085e-1,+5.5288109e-2
PartitionedE2E,2,10000000,100000000,10000000,true,I64,Sum,0,0,+3.649045336e9,2.3165608349999998,2.326099031,2.313404289,2.341758868,2.248283567,2.324130135,2.275844882,2.268690148,2.245543108,+1.6e-7,+1.073681847e0,+1.228233992e0,+1.5761257e-2
PartitionedE2E,2,100000000,100000000,100000000,true,I64,Sum,0,0,+6.643778392e9,3.636627279,3.660238534,3.686810817,3.661898091,3.633369992,3.642185125,3.629410573,3.655138492,3.6741218939999998,+1.7e-7,+9.93554651e-1,+2.522474098e0,+1.28836625e-1
AtomicE2E,4,10000000,100000000,10000000,true,I64,Sum,0,0,+5.62147496e8,0.929064853,0.919052882,0.926333405,0.920883067,0.919582427,0.918763584,0.919137222,0.93079826,0.925172314,+3.266e-5,+6.70364544385574e-1,+2.4757413344801227e-1,+1.412429e-3
AtomicE2E,4,10000000,100000000,5000000,true,I64,Sum,0,0,+6.82125872e8,1.092462939,1.092986744,1.096295969,1.090254667,1.095062379,1.088623278,1.091908794,1.089422422,1.095551624,+3.4369e-5,+8.243983480872636e-1,+2.646034500298749e-1,+1.31018e-3
AtomicE2E,4,100000000,100000000,100000000,true,I64,Sum,0,0,+5.602147496e9,1.74609936,1.75385349,1.738841597,1.754878632,1.740501073,1.7513607279999999,1.748278844,1.754407225,1.754298866,+3.604e-5,+1.3898980781930954e0,+3.4292339580690473e-1,+1.2614312e-2
AtomicE2E,4,100000000,100000000,50000000,true,I64,Sum,0,0,+6.802140208e9,3.157728928,3.180947037,3.025377171,3.176938447,3.045605432,3.008867148,3.019785724,3.127569793,3.063570091,+3.634e-5,+2.6979342320227984e0,+3.309755007593049e-1,+1.2483703e-2
ThreadLocalE2E,4,10000000,100000000,10000000,true,I64,Sum,0,0,+8.02172352e8,0.88663335,0.897327384,0.897555759,0.90042192,0.893675399,0.897840212,0.898578463,0.896117256,0.891278475,+2.8109e-5,+6.799708322902307e-1,+2.069175895474808e-1,+9.555742e-3
ThreadLocalE2E,4,10000000,100000000,5000000,true,I64,Sum,0,0,+9.6221536e8,1.05123963,1.04591949,1.049510074,1.04820092,1.045390273,1.046315975,1.047973042,1.045640403,1.043263545,+2.81e-5,+8.138177764773774e-1,+2.201657290248662e-1,+1.1111422e-2
ThreadLocalE2E,4,100000000,100000000,100000000,true,I64,Sum,0,0,+8.002172352e9,1.521659227,1.52173003,1.5218389129999998,1.518710797,1.520653148,1.517858709,1.5194280230000001,1.516233437,1.521841386,+3.201e-5,+1.3679428196395484e0,+6.253129528852178e-2,+8.3384215e-2
ThreadLocalE2E,4,100000000,100000000,50000000,true,I64,Sum,0,0,+9.602229696e9,2.972074212,2.82918246,2.7977132559999998,2.828654383,2.8138869460000002,2.937358432,2.818553275,2.816151821,2.7977997869999998,+3.3249e-5,+2.6267403856693963e0,+9.631232144375788e-2,+8.4696691e-2
PartitionedE2E,4,10000000,100000000,10000000,true,I64,Sum,0,0,+3.64904604e9,1.11929073,1.189389325,1.257807781,1.20806813,1.276038258,1.290541613,1.26345249,1.238426104,1.281762807,+2.9e-7,+6.65236887e-1,+5.82789025e-1,+9.914677e-3
PartitionedE2E,4,100000000,100000000,100000000,true,I64,Sum,0,0,+6.643779096e9,1.8011908110000001,1.884254665,2.086203333,1.850717182,2.056342164,1.858687704,1.839414189,1.831306043,1.8369309,+1.6e-7,+6.63860329e-1,+1.114158619e0,+7.3128156e-2
AtomicE2E,8,10000000,100000000,10000000,true,I64,Sum,0,0,+5.64262216e8,0.477642737,0.476519123,0.475403391,0.47062578,0.474400386,0.474243295,0.477669584,0.473229742,0.477583254,+3.3339e-5,+3.50200291606362e-1,+1.2360885619916766e-1,+1.412461e-3
