workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
CuckooMap,1,1000,100000000,1000,true,I64,Sum,0,0,+3.9424e4,5.058124878,5.054041284,5.054121331,5.053973623,5.054453185,5.053688676,5.053880176,5.053520883,5.053713779,+1.8221e-5,+5.053950653e0,+0e0,+3.121e-6
DashMap,1,1000,100000000,1000,true,I64,Sum,0,0,+6.41348e5,1.277467247,1.277708386,1.2780897279999999,1.278144229,1.277199115,1.271476386,1.276793578,1.276122809,1.271895148,+1.09453e-4,+1.276985749e0,+0e0,+1.02233e-4
FolkloreMap,1,1000,100000000,1000,true,I64,Sum,0,0,+5.56592e5,0.495597067,0.495643953,0.495818599,0.498102605,0.496297377,0.495625295,0.496495759,0.49558743,0.496311711,+1.661e-5,+4.95798519e-1,+0e0,+2.96e-6
IcebergMap,1,1000,100000000,1000,true,I64,Sum,0,0,+5.51008e5,0.722392011,0.723024357,0.723041813,0.723095719,0.723019585,0.722744664,0.725076962,0.722851868,0.727492771,+1.4151e-5,+7.23006167e-1,+0e0,+3.41e-6
LeapMap,1,1000,100000000,1000,true,I64,Sum,0,0,+5.51544e5,1.487637643,1.4891325690000001,1.487614544,1.488784491,1.4866741399999999,1.484612248,1.489033464,1.488154094,1.487579805,+1.7631e-5,+1.487616062e0,+0e0,+3.7e-6
AtomicPau,1,1000,100000000,1000,true,I64,Sum,0,0,+5.34584e5,0.575861209,0.57572121,0.575670151,0.575957104,0.577086537,0.576125935,0.575595095,0.575840613,0.575724066,+2.75e-6,+0e0,+5.75835823e-1,+4e-8
LockingPau,1,1000,100000000,1000,true,I64,Sum,0,0,+5.49656e5,0.883179934,0.883256976,0.88344942,0.883300443,0.883647191,0.883343231,0.883303398,0.883536363,0.883301894,+5.48e-6,+0e0,+8.83294117e-1,+2.25e-6
ThreadLocalPau,1,1000,100000000,1000,true,I64,Sum,0,0,+5.34624e5,0.384299899,0.383292283,0.383266125,0.383603265,0.383677249,0.383591738,0.383536687,0.383738606,0.383206942,+3e-8,+0e0,+3.83408953e-1,+1.86905e-4
AtomicE2E,1,1000,100000000,1000,true,I64,Sum,0,0,+6.17456e5,0.78631677,0.786621045,0.790256459,0.786739299,0.786929201,0.78664829,0.786705168,0.786832528,0.786825603,+1.817e-5,+4.3083510823460885e-1,+3.559138851260414e-1,+2.67e-6
ThreadLocalE2E,1,1000,100000000,1000,true,I64,Sum,0,0,+6.17496e5,0.5941328,0.594560294,0.593987753,0.593766139,0.593930747,0.593987194,0.59382276,0.594122604,0.595860473,+1.705e-5,+4.307441553240647e-1,+1.6303318167593533e-1,+1.89625e-4
PartitionedE2E,1,1000,100000000,1000,true,I64,Sum,0,0,+5.14584e5,1.073609841,1.079826233,1.080607405,1.0793574320000001,1.069695797,1.078680895,1.078890582,1.08062935,1.068748223,+3e-7,+1.07847269e0,+2.66297e-4,+1.50834e-4
AtomicE2E,1,1000,100000000,1000,true,I64,Sum,0.8,0,+6.17456e5,0.766713243,0.767217963,0.766873827,0.767109999,0.766887089,0.76709736,0.766801386,0.767022118,0.766858299,+1.7771e-5,+4.0215250033708977e-1,+3.647131749243433e-1,+2.82e-6
ThreadLocalE2E,1,1000,100000000,1000,true,I64,Sum,0.8,0,+6.17496e5,0.568890013,0.56902327,0.568897519,0.569032175,0.568952847,0.569226055,0.571701609,0.568912893,0.569150833,+1.658e-5,+4.0346164008857893e-1,+1.6530125111238345e-1,+1.87845e-4
PartitionedE2E,1,1000,100000000,1000,true,I64,Sum,0.8,0,+5.14584e5,1.049540424,1.049711658,1.049566893,1.042601049,1.049693716,1.049245322,1.04883973,1.039719615,1.037082921,+3.2e-7,+1.04883037e0,+2.72427e-4,+1.56764e-4
AtomicE2E,1,1000,100000000,1000,true,I64,Sum,0,0.5,+6.17456e5,0.78250337,0.78232389,0.785574855,0.782366652,0.784805004,0.782612067,0.782484038,0.782319719,0.782621133,+1.7581e-5,+4.0581597268864816e-1,+3.767261750809741e-1,+2.85e-6
ThreadLocalE2E,1,1000,100000000,1000,true,I64,Sum,0,0.5,+6.17496e5,0.580129472,0.580245459,0.580098887,0.580028507,0.579931457,0.580227318,0.580114918,0.580084068,0.579917058,+1.6371e-5,+4.057029128157547e-1,+1.7420621147679924e-1,+1.90975e-4
PartitionedE2E,1,1000,100000000,1000,true,I64,Sum,0,0.5,+5.14584e5,1.034513428,2.403093533,2.398534707,2.406254567,2.402452622,1.03537035,2.402683531,1.04421262,1.044460925,+2.9e-7,+2.398111315e0,+2.67788e-4,+1.54594e-4
CuckooMap,1,10000000,100000000,10000000,true,I64,Sum,0,0,+3.70006112e8,14.628791505,14.526757561,14.494138351,14.533742197,14.488019569,14.505950142,14.559205039,14.55281088,14.455845643,+7.702728e-3,+1.45177578e1,+0e0,+1.294825e-3
DashMap,1,10000000,100000000,10000000,true,I64,Sum,0,0,+2.8581096e8,8.139291456,8.164522409,8.086197168,8.185112933,8.177626811,8.064133523,8.042597396,8.19346327,8.116162377,+1.0501643e-2,+8.103766623e0,+0e0,+2.3803118e-2
FolkloreMap,1,10000000,100000000,10000000,true,I64,Sum,0,0,+3.20524592e8,2.365320515,2.370451817,2.375813316,2.375483129,2.376847744,2.37756802,2.379783335,2.431003913,2.427672984,+2.3289e-5,+2.375529402e0,+0e0,+1.331201e-3
IcebergMap,1,10000000,100000000,10000000,true,I64,Sum,0,0,+2.56407568e8,4.646766905,4.675950632,4.680996761,4.681303593,4.680844038,4.686846165,4.677785242,4.681506563,4.669706514,+2.18696e-4,+4.679461053e0,+0e0,+1.115862e-3
LeapMap,1,10000000,100000000,10000000,true,I64,Sum,0,0,+4.36732536e8,4.719065333,4.732552353,4.725721434,4.7092404949999995,4.721960928,4.715017724,4.734682637,4.741395661,4.721743587,+8.3962591e-2,+4.637349429e0,+0e0,+1.639078e-3
AtomicPau,1,10000000,100000000,10000000,true,I64,Sum,0,0,+8.0526584e7,1.177055532,1.177104268,1.180275476,1.179975422,1.18037361,1.178689835,1.175876135,1.173920593,1.178220078,+2.0639e-5,+0e0,+1.177854862e0,+3e-8
