workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
CuckooMap,1,1000,100000000,1000,false,I64,Sum,0,0,+3.9416e4,6.062582023,6.060590961,6.075474313,6.06058757,6.061101339,6.059920728,6.061008505,6.06027546,6.074979128,+1.052e-5,+6.060997025e0,+0e0,+8.4e-7
DashMap,1,1000,100000000,1000,false,I64,Sum,0,0,+6.3726e5,2.093014409,2.087708744,2.090325296,2.086976775,2.091383991,2.086320727,2.089886253,2.08649381,2.091105309,+9.4201e-5,+2.089710771e0,+0e0,+8.1361e-5
FolkloreMap,1,1000,100000000,1000,false,I64,Sum,0,0,+5.56608e5,1.50710774,1.506907777,1.50706826,1.506988459,1.507228902,1.506906099,1.507090541,1.5072060619999998,1.507227743,+2.92e-6,+1.5070847010000001e0,+0e0,+1.28e-6
IcebergMap,1,1000,100000000,1000,false,I64,Sum,0,0,+5.51024e5,2.0060608,2.000055885,2.002124791,2.000270128,2.00593028,2.000166928,2.002127472,1.999981086,2.001977991,+3.12e-6,+2.001973631e0,+0e0,+1.08e-6
LeapMap,1,1000,100000000,1000,false,I64,Sum,0,0,+5.5156e5,1.918250656,1.915494381,1.9164833140000002,1.917942893,1.916266912,1.917397726,1.91604851,1.917452367,1.916131472,+6.88e-6,+1.916474794e0,+0e0,+8.8e-7
AtomicPau,1,1000,100000000,1000,false,I64,Sum,0,0,+5.346e5,0.669402011,0.669631214,0.669422932,0.671089913,0.669342611,0.671046592,0.669418172,0.669653855,0.669382491,+1.64e-6,+0e0,+6.69420452e-1,+1.2e-7
LockingPau,1,1000,100000000,1000,false,I64,Sum,0,0,+5.49672e5,2.037682288,2.03933519,2.037685129,2.039607873,2.037628649,2.043408083,2.03772337,2.039372672,2.037717892,+6.44e-6,+0e0,+2.0377160500000002e0,+4e-7
ThreadLocalPau,1,1000,100000000,1000,false,I64,Sum,0,0,+5.3464e5,0.373413475,0.373595638,0.374630531,0.373637638,0.373284994,0.373580877,0.373352995,0.373669318,0.373267554,+1.6e-7,+0e0,+3.73523436e-1,+5.6961e-5
AtomicE2E,1,1000,100000000,1000,false,I64,Sum,0,0,+6.17472e5,1.933608818,1.933883862,1.9337145009999999,1.93928481,1.9337407020000001,1.933852262,1.9336651809999998,1.933816583,1.9336483009999998,+4.441e-6,+1.4652178951177297e0,+4.685332587200322e-1,+1.16e-6
ThreadLocalE2E,1,1000,100000000,1000,false,I64,Sum,0,0,+6.17512e5,1.641110128,1.645545823,1.641211929,1.6412620100000002,1.641359251,1.641026567,1.646541917,1.641159169,1.641374892,+4.44e-6,+1.4656488041368887e0,+1.7555555288920904e-1,+6.3241e-5
