workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
CuckooMap,1,1000,100000000,1000,true,I64,Sum,0,0,+3.944e4,7.209225021,7.213381828,7.214991057,7.213220095,7.207954848,7.210957515,7.21768096,7.212458659,7.211450014,+9.034e-6,+7.212446783e0,+0e0,+1.744e-6
DashMap,1,1000,100000000,1000,true,I64,Sum,0,0,+5.96256e5,2.515775878,2.518471629,2.509262511,2.512337669,2.499688353,2.520641296,2.502207758,2.4951636329999998,2.531681248,+2.9737e-5,+2.512273747e0,+0e0,+3.2087e-5
FolkloreMap,1,1000,100000000,1000,true,I64,Sum,0,0,+5.56608e5,0.952336218,0.924880175,0.966989965,0.95947119,0.973194762,0.98569548,0.974876798,0.99008669,0.986485668,+7.088e-6,+9.73187879e-1,+0e0,+1.753e-6
IcebergMap,1,1000,100000000,1000,true,I64,Sum,0,0,+5.51024e5,1.158570317,1.2043735070000001,1.1326008650000001,1.20102528,1.216180416,1.149906168,1.215063805,1.154924826,1.184118233,+7.547e-6,+1.184107565e0,+0e0,+2.074e-6
LeapMap,1,1000,100000000,1000,true,I64,Sum,0,0,+5.5156e5,1.7454884609999999,1.73929357,1.755359586,1.7462548500000001,1.729700824,1.736243081,1.740059863,1.7514777719999999,1.734646583,+1.5528e-5,+1.7400415489999999e0,+0e0,+2.156e-6
AtomicPau,1,1000,100000000,1000,true,I64,Sum,0,0,+5.346e5,1.161265156,1.160483426,1.160628578,1.1688511990000001,1.168665351,1.166556877,1.162591632,1.163814726,1.171370185,+2.618e-6,+0e0,+1.163811631e0,+5.3e-8
LockingPau,1,1000,100000000,1000,true,I64,Sum,0,0,+5.49672e5,2.658802058,2.6608245569999998,2.663509999,2.660970969,2.667879664,2.664840989,2.661226684,2.658943228,2.66557744,+5.856e-6,+0e0,+2.661217929e0,+1.622e-6
ThreadLocalPau,1,1000,100000000,1000,true,I64,Sum,0,0,+5.3464e5,0.522978467,0.538350134,0.500953985,0.536608299,0.518423058,0.536832914,0.457065724,0.502878393,0.464467695,+5.2e-8,+0e0,+5.18270612e-1,+1.50412e-4
AtomicE2E,1,1000,100000000,1000,true,I64,Sum,0,0,+6.17472e5,1.709250736,1.705430727,1.717281123,1.709102724,1.739210581,1.7325854299999999,1.69914057,1.699554763,1.715230312,+1.0256e-5,+8.366368401573979e-1,+8.726067338426019e-1,+1.593e-6
ThreadLocalE2E,1,1000,100000000,1000,true,I64,Sum,0,0,+6.17512e5,1.130730289,1.027038965,1.0763650280000001,1.027183624,1.120213897,1.007209923,1.008305748,1.00196963,1.120304872,+1.1142e-5,+8.288509659215824e-1,+1.994683727771403e-1,+1.65609e-4
PartitionedE2E,1,1000,100000000,1000,true,I64,Sum,0,0,+5.14552e5,1.36618784,1.253402362,1.3933019070000001,1.25304525,1.368152397,1.279258126,1.365538899,1.255587142,1.368510476,+1.24e-7,+1.365151167e0,+2.30473e-4,+1.45369e-4
AtomicE2E,1,1000,100000000,1000,true,I64,Sum,0.8,0,+6.17472e5,1.666002524,1.718085521,1.6581227840000001,1.6579969,1.657691118,1.697583224,1.672036214,1.6621071349999998,1.6662411609999999,+1.1926e-5,+7.936297359640483e-1,+8.723561550359519e-1,+1.855e-6
ThreadLocalE2E,1,1000,100000000,1000,true,I64,Sum,0.8,0,+6.17512e5,0.973450456,1.040484755,0.981218305,0.962043228,1.033988414,0.965984894,0.968983602,1.058250207,0.960740604,+1.1236e-5,+7.912613698224579e-1,+1.820207051775421e-1,+1.61136e-4
PartitionedE2E,1,1000,100000000,1000,true,I64,Sum,0.8,0,+5.1452e5,1.19779889,1.196386317,1.193128881,1.304044735,1.216197789,1.313507531,1.189289761,1.201536062,1.21839612,+1.42e-7,+1.201139234e0,+2.27882e-4,+1.48915e-4
