workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
AtomicE2E,48,1000,100000000,1000,true,I16,Sum,0,0,+2.5389288e7,1.431214033,1.373482503,1.429775634,1.4033505210000001,1.404804271,1.399100603,1.404590784,1.3763795939999999,1.389926309,+2.248e-5,+9.169771349583715e-3,+1.3941485221308685e0,+9.75e-6
ThreadLocalE2E,48,1000,100000000,1000,true,I16,Sum,0,0,+2.6633912e7,0.016533363,0.016490923,0.016507173,0.016544682,0.016501284,0.016534003,0.016541653,0.016528833,0.016576762,+2.2291e-5,+1.1248670412774428e-2,+3.898030146485279e-3,+1.33008e-3
PartitionedE2E,48,1000,100000000,1000,true,I16,Sum,0,0,+2.2492416e7,0.029448051,0.029147443,0.028767447,0.029199833,0.029316162,0.029097954,0.030164426,0.029180393,0.028974805,+1.03e-6,+2.5925046e-2,+2.048245e-3,+1.172522e-3
AtomicE2E,48,10000000,100000000,10000000,true,I16,Sum,0,0,+5.25329304e8,0.134811285,0.135337581,0.134353718,0.136105955,0.135280191,0.134845394,0.135035084,0.134411717,0.134714035,+1.167151e-3,+1.0181459390374611e-1,+3.035895599096437e-2,+1.30159e-3
ThreadLocalE2E,48,10000000,100000000,10000000,true,I16,Sum,0,0,+1.466487352e9,0.153482833,0.153645171,0.151523826,0.152039923,0.151887903,0.150186026,0.152557389,0.150556523,0.151055309,+3.757e-5,+1.0600613546379252e-1,+3.279209833955658e-2,+1.26237e-2
PartitionedE2E,48,10000000,100000000,10000000,true,I16,Sum,0,0,+4.007353616e9,0.245041643,0.231794678,0.243885301,0.233761294,0.239091466,0.244690186,0.247723984,0.237509818,0.247045089,+1.9e-7,+1.12728791e-1,+3.5990025e-2,+8.9551465e-2
AtomicE2E,48,10000000,100000000,10000000,true,I16,Sum,0.8,0,+5.25330528e8,0.111938907,0.115760659,0.110681596,0.112522413,0.113658344,0.112645872,0.112089516,0.113260748,0.111695528,+2.478503e-3,+6.527818276056849e-2,+4.332388873655371e-2,+1.34698e-3
ThreadLocalE2E,48,10000000,100000000,10000000,true,I16,Sum,0.8,0,+1.466487352e9,0.117632806,0.116849402,0.116547914,0.116972601,0.1171486,0.116287876,0.115975188,0.11574036,0.116379005,+3.518e-5,+7.251010780596134e-2,+3.112558211074018e-2,+1.2496082e-2
PartitionedE2E,48,10000000,100000000,10000000,true,I16,Sum,0.8,0,+3.558562976e9,0.237691075,0.233696105,0.218437142,0.225919769,0.231856838,0.231027033,0.230293208,0.226519845,0.233357937,+5e-8,+1.26887361e-1,+3.5206881e-2,+6.8211767e-2
AtomicE2E,48,10000000,100000000,10000000,true,I16,Sum,0,0.5,+5.25337696e8,1.20265402,1.202929329,1.199390103,1.199181446,1.20143195,1.199897421,1.198402702,1.20285722,1.201182483,+7.007711e-3,+5.713453133873019e-2,+1.1350352352630282e0,+1.365951e-3
ThreadLocalE2E,48,10000000,100000000,10000000,true,I16,Sum,0,0.5,+1.466487352e9,0.111326681,0.115428033,0.117843055,0.116427145,0.111434511,0.114125512,0.111348671,0.115136545,0.113254338,+4.084e-5,+7.402228352613599e-2,+2.7780535473864013e-2,+1.286306e-2
PartitionedE2E,48,10000000,100000000,10000000,true,I16,Sum,0,0.5,+1.92304672e9,0.171952172,0.178986192,0.171044089,0.166301852,0.167470384,0.169876917,0.171128818,0.171116998,0.173912309,+1.7e-7,+1.2989655e-1,+2.0934882e-2,+1.8733097e-2
AtomicE2E,48,100000000,100000000,100000000,true,I16,Sum,0,0,+5.025335904e9,0.336650756,0.33756694,0.337639809,0.33891875,0.337400781,0.337773258,0.336489967,0.340057272,0.340166272,+3.373e-5,+2.9576891644486736e-1,+1.3674040288287382e-2,+2.3645883e-2
ThreadLocalE2E,48,100000000,100000000,100000000,true,I16,Sum,0,0,+1.442649304e10,0.484216562,0.483230369,0.482322105,0.483623956,0.483291398,0.482068527,0.482758392,0.483406358,0.483421018,+4.152e-5,+3.199220417345421e-1,+1.503712626545787e-2,+1.44398957e-1
PartitionedE2E,48,100000000,100000000,100000000,true,I16,Sum,0,0,+8.809700264e9,0.436831638,0.439696517,0.440239644,0.433595561,0.439088442,0.428383128,0.431870473,0.439792986,0.442286949,+1.8e-7,+1.19204927e-1,+2.70814403e-1,+4.5884755e-2
AtomicE2E,48,1000,100000000,1000,true,I32,Sum,0,0,+2.5409976e7,1.019656274,1.01715538,1.012947551,1.022499503,1.020673427,1.018004135,1.011119623,1.016933504,1.007999306,+2.213e-5,+9.748846592689998e-3,+1.0076703640072493e0,+9.369e-6
ThreadLocalE2E,48,1000,100000000,1000,true,I32,Sum,0,0,+2.7909816e7,0.016547303,0.016606563,0.016800341,0.016687842,0.016679502,0.016789722,0.016659292,0.016691282,0.016706142,+2.138e-5,+1.1286532084373444e-2,+3.997907558844365e-3,+1.368501e-3
PartitionedE2E,48,1000,100000000,1000,true,I32,Sum,0,0,+2.3452416e7,0.028804237,0.02982426,0.031834254,0.028474079,0.028687877,0.029502121,0.028143831,0.029848548,0.029901388,+7.11e-7,+2.6188064e-2,+2.081375e-3,+1.194591e-3
AtomicE2E,48,10000000,100000000,10000000,true,I32,Sum,0,0,+5.4535388e8,0.139891921,0.140088838,0.140521006,0.140712284,0.141198761,0.140276758,0.14118511,0.141520579,0.139591422,+3.268e-5,+1.0332190538101466e-1,+3.5090766381971096e-2,+1.331221e-3
ThreadLocalE2E,48,10000000,100000000,10000000,true,I32,Sum,0,0,+2.427668024e9,0.172542769,0.171114259,0.171722465,0.17095472,0.173200625,0.171593006,0.172047142,0.174504986,0.170864471,+4.047e-5,+1.0816975114024233e-1,+3.507317883350135e-2,+2.7534975e-2
