workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
FolkloreMap,24,1000,100000000,1000,true,I64,Sum,0,0,+1.262308e7,0.040293453,0.040180603,0.040155209,0.039945459,0.03965746,0.039937955,0.04017179,0.040197898,0.040090068,+8.76e-6,+4.0143759e-2,+0e0,+1.93e-6
FolkloreMap,24,1000,100000000,1000,false,I64,Sum,0,0,+1.2622624e7,0.039884317,0.040303961,0.039973268,0.039976322,0.039935213,0.0398348,0.039933178,0.04030666,0.040008068,+7.978e-6,+3.9962494e-2,+0e0,+2.147e-6
FolkloreMap,24,10000000,100000000,10000000,true,I64,Sum,0,0,+3.32590624e8,0.123932705,0.123712047,0.123825666,0.123807692,0.123727895,0.123659441,0.124531167,0.124577603,0.124705572,+2.0092e-5,+1.22952541e-1,+0e0,+8.47017e-4
FolkloreMap,24,10000000,100000000,10000000,false,I64,Sum,0,0,+3.32590624e8,0.192739775,0.192192681,0.192075061,0.192264314,0.191668987,0.192825808,0.187900804,0.196513943,0.191038391,+6.7276665e-2,+1.24063538e-1,+0e0,+8.56521e-4
FolkloreMap,24,100000000,100000000,100000000,true,I64,Sum,0,0,+3.212590624e9,0.27536106,0.273723984,0.275232535,0.277344226,0.27509652,0.275243641,0.275368843,0.275442705,0.275766584,+2.462e-5,+2.67216984e-1,+0e0,+8.100037e-3
FolkloreMap,24,100000000,100000000,100000000,false,I64,Sum,0,0,+3.212590624e9,0.909019547,0.909970101,0.911108089,0.910555946,0.910665487,0.904297351,0.912798879,0.909010611,0.913098401,+6.72559017e-1,+2.30122177e-1,+0e0,+7.817681e-3
AtomicE2E,24,1000,100000000,1000,true,I64,Sum,0,0,+1.277172e7,0.383731188,0.382780899,0.384910578,0.384319675,0.381387283,0.382622826,0.381441808,0.383065319,0.38469823,+1.2753e-5,+3.549956377274975e-2,+3.474599163185405e-1,+7.57e-6
AtomicE2E,24,1000,100000000,1000,false,I64,Sum,0,0,+1.277172e7,0.382825064,0.382396849,0.383135878,0.384744566,0.382645722,0.383226556,0.384219687,0.383566473,0.38212716,+1.3548e-5,+3.5105075993292226e-2,+3.4771143561482953e-1,+7.585e-6
AtomicE2E,24,10000000,100000000,10000000,true,I64,Sum,0,0,+5.7271424e8,0.221398628,0.22225309,0.220648182,0.224359341,0.223832082,0.22271999,0.222109337,0.223215731,0.223612886,+2.7495e-5,+1.6115245035884007e-1,+5.914392683907336e-2,+9.45641e-4
AtomicE2E,24,10000000,100000000,10000000,false,I64,Sum,0,0,+5.72717312e8,0.304670884,0.303068718,0.305099118,0.305079656,0.302793648,0.30259078,0.302459086,0.30242058,0.304397566,+8.416381e-2,+1.618019047304343e-1,+5.549193186424742e-2,+8.87863e-4
AtomicE2E,24,100000000,100000000,100000000,true,I64,Sum,0,0,+5.612718792e9,0.501350721,0.494142903,0.513698865,0.501525938,0.496327456,0.494841521,0.511491901,0.494451381,0.501284498,+3.5759e-5,+4.335573581275784e-1,+4.905818519838242e-2,+1.0531819e-2
AtomicE2E,24,100000000,100000000,100000000,false,I64,Sum,0,0,+5.612723912e9,1.3183718070000001,1.307428507,1.314647569,1.302788761,1.304410332,1.305509241,1.3162725659999999,1.311677738,1.30487276,+8.58790237e-1,+3.962960937893994e-1,+3.750371462942682e-2,+9.916524e-3
ThreadLocalE2E,24,1000,100000000,1000,true,I64,Sum,0,0,+1.4085976e7,0.04443832,0.044367053,0.044443765,0.044257201,0.043715571,0.043861783,0.043647691,0.043849239,0.044062725,+9.101e-6,+3.5857305953546394e-2,+7.607708375414898e-3,+4.99466e-4
ThreadLocalE2E,24,1000,100000000,1000,false,I64,Sum,0,0,+1.4085976e7,0.044541358,0.044395296,0.044482259,0.044293763,0.044308932,0.044408045,0.044163964,0.043931234,0.044085559,+9.088e-6,+3.608090155757021e-2,+7.723980092398295e-3,+5.22064e-4
ThreadLocalE2E,24,10000000,100000000,10000000,true,I64,Sum,0,0,+2.413852632e9,0.266703173,0.268291228,0.269267141,0.266182444,0.269474159,0.268516517,0.272189659,0.269120988,0.267651173,+2.7021e-5,+1.7188771748232914e-1,+6.279079732519238e-2,+3.3131578e-2
ThreadLocalE2E,24,10000000,100000000,10000000,false,I64,Sum,0,0,+2.413851096e9,0.334850495,0.334230932,0.331814215,0.332705239,0.336380271,0.332734766,0.335366235,0.334256682,0.335692951,+6.6919815e-2,+1.707881954385614e-1,+6.2924276059136e-2,+3.2406441e-2
ThreadLocalE2E,24,100000000,100000000,100000000,true,I64,Sum,0,0,+2.4013850072e10,0.913105879,0.920227516,0.913886156,0.905166498,0.905818087,0.909246857,0.918270304,0.91525668,0.920358197,+3.2551e-5,+4.5361317835402126e-1,+1.202876854608064e-1,+3.37041997e-1
ThreadLocalE2E,24,100000000,100000000,100000000,false,I64,Sum,0,0,+2.4013851096e10,1.5654297270000002,1.564693413,1.559184224,1.5681656130000001,1.573805471,1.575402084,1.577698013,1.548557115,1.580578872,+6.79299029e-1,+4.3451554807623943e-1,+1.1951561645336957e-1,+3.37826287e-1
